name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
muscat,2019-03-01,89.6,71.6,81.7,89.5,71.6,81.8,61.1,53.4,0.04,100,16.67,rain,,,39.1,27.7,191.5,1003,24.9,4.7,216.8,18.9,8,,2019-03-01T06:28:00,2019-03-01T18:08:25,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41280099999,OOMS,41258099999,41256099999,41257099999"
muscat,2019-03-02,80.6,71.4,73.8,81.8,71.4,73.9,55.8,54.1,0,0,0,,,,,20.8,293.7,1007.3,12.7,3.7,261.7,22.6,9,,2019-03-02T06:27:08,2019-03-02T18:08:54,0.93,Clear,Clear conditions throughout the day.,clear-day,"41280099999,OOMS,41258099999,41256099999,41257099999"
muscat,2019-03-03,73.4,66.2,70.2,73.4,66.2,70.2,52.5,53.6,0,0,0,,,,,17.2,284.8,1011.1,10.9,6,276.8,23.9,9,,2019-03-03T06:26:15,2019-03-03T18:09:22,0.96,Clear,Clear conditions throughout the day.,clear-day,"41280099999,OOMS,41258099999,41256099999,41257099999"
muscat,2019-03-04,75.3,66.2,71.4,75.3,66.2,71.4,52.6,51.7,0,0,0,,,,,17.3,270.4,1012.7,0,6.2,277,23.8,9,,2019-03-04T06:25:21,2019-03-04T18:09:50,0.98,Clear,Clear conditions throughout the day.,clear-day,"41280099999,OOMS,41258099999,41256099999,41257099999"
muscat,2019-03-05,75.2,59.1,69.9,75.2,59.1,69.9,52.4,54.4,0,0,0,,,,,13.9,232,1012.5,3.5,6.1,289.8,25.1,10,,2019-03-05T06:24:27,2019-03-05T18:10:18,1,Clear,Clear conditions throughout the day.,clear-day,"41280099999,OOMS,41258099999,41256099999,41257099999,remote"
muscat,2019-03-06,75.2,62.6,71,75.2,62.6,71,56.1,59.6,0,0,0,,,,,15,137.3,1012.5,4.9,6.2,264.7,22.9,9,,2019-03-06T06:23:33,2019-03-06T18:10:45,1,Clear,Clear conditions throughout the day.,clear-day,"41280099999,OOMS,41258099999,41256099999,41257099999"
muscat,2019-03-07,79.2,68.4,74.1,79.2,68.4,74.1,60.2,64.1,0,0,0,,,,,16.1,232.2,1010.3,16.5,5.9,262.7,22.8,9,,2019-03-07T06:22:38,2019-03-07T18:11:12,0,Clear,Clear conditions throughout the day.,clear-day,"41280099999,OOMS,41258099999,41256099999,41257099999,remote"
muscat,2019-03-08,77,66.2,73.2,77,66.2,73.2,53.2,50.3,0,0,0,,,,,13.9,208.4,1013.4,1.2,5.8,270.9,23.4,9,,2019-03-08T06:21:42,2019-03-08T18:11:38,0.02,Clear,Clear conditions throughout the day.,clear-day,"41280099999,OOMS,41258099999,41256099999,41257099999"
muscat,2019-03-09,77,64.4,72.6,77,64.4,72.6,55.3,55.8,0,0,0,,,,,12.8,243.7,1014.5,8.2,5.9,272,23.3,9,,2019-03-09T06:20:46,2019-03-09T18:12:04,0.04,Clear,Clear conditions throughout the day.,clear-day,"41280099999,OOMS,41258099999,41256099999,41257099999"
muscat,2019-03-10,75.2,66.2,71.5,75.2,66.2,71.5,50.8,48.6,0,0,0,,,,,23,259.3,1014.4,1.2,6.1,293.9,25.5,10,,2019-03-10T06:19:50,2019-03-10T18:12:30,0.07,Clear,Clear conditions throughout the day.,clear-day,"41280099999,OOMS,41258099999,41256099999,41257099999"
muscat,2019-03-11,75.5,59.6,71,75.5,59.6,71,52.8,53.3,0,0,0,,,,,12.8,181,1014.4,9.5,6.2,284.5,24.4,10,,2019-03-11T06:18:53,2019-03-11T18:12:56,0.1,Clear,Clear conditions throughout the day.,clear-day,"41280099999,OOMS,41258099999,41256099999,41257099999,remote"
muscat,2019-03-12,77,64.4,72,77,64.4,72,53.7,53.2,0,0,0,,,,,17.2,250,1015.2,8.8,6.2,253.5,21.9,10,,2019-03-12T06:17:56,2019-03-12T18:13:22,0.14,Clear,Clear conditions throughout the day.,clear-day,"41280099999,OOMS,41258099999,41256099999,41257099999"
