"id","vendor_category_en","vendor_category_id","delivery_charge","serving_distance","OpeningTime","OpeningTime2","prepration_time","discount_percentage","vendor_rating","vendor_tag","vendor_tag_name","revenue"
4,"Restaurants",2,0,6,"11:00AM-11:30PM","-",15,0,4.4,"2,4,5,8,91,22,12,24,16,23","Arabic,Breakfast,Burgers,Desserts,Free Delivery,Grills,Lebanese,Salads,Sandwiches,Shawarma",32444
13,"Restaurants",2,0.7,5,"08:30AM-10:30PM","-",14,0,4.7,"4,41,51,34,27,15,24,16,28","Breakfast,Cakes,Crepes,Italian,Pasta,Pizzas,Salads,Sandwiches,Soups",12253.2
20,"Restaurants",2,0,8,"08:00AM-10:45PM","-",19,0,4.5,"4,8,91,10","Breakfast,Desserts,Free Delivery,Indian",34050.8
23,"Restaurants",2,0,5,"10:59AM-10:30PM","-",16,0,4.5,"5,8,30,24","Burgers,Desserts,Fries,Salads",20016
28,"Restaurants",2,0.7,15,"11:00AM-11:45PM","-",10,0,4.4,"5","Burgers",18394.1
33,"Restaurants",2,0.7,6,"11:00AM-10:30PM","-",17,0,4.6,"8,42","Desserts,Mexican",39479.8
43,"Restaurants",2,0.7,15,"11:00AM-11:45PM","-",15,0,4.3,"1,5,30,16","American,Burgers,Fries,Sandwiches",12933.3
44,"Restaurants",2,0.7,15,"11:00AM-11:45PM","-",14,0,4.3,"1,5,30,16","American,Burgers,Fries,Sandwiches",15837.5
55,"Restaurants",2,0.7,10,"09:00AM-11:30PM","-",19,0,4.5,"4,8,22,32,24,16,28","Breakfast,Desserts,Grills,Milkshakes,Salads,Sandwiches,Soups",12820.8
66,"Restaurants",2,0,15,"05:00PM-11:00PM","-",20,10,4,"4,5,8,10,24","Breakfast,Burgers,Desserts,Indian,Salads",10380.9
67,"Restaurants",2,0,15,"08:00AM-11:30PM","-",15,0,4.3,"4,8,22,32,24,16,28","Breakfast,Desserts,Grills,Milkshakes,Salads,Sandwiches,Soups",11839.3
75,"Restaurants",2,0.7,5,"11:00AM-10:30PM","-",15,0,4.6,"3,8,9,11,24,54","Asian,Desserts,Healthy Food,Japanese,Salads,Sushi",19632.6
76,"Restaurants",2,0.7,15,"08:30AM-09:30PM","-",15,0,4.6,"16,4,5,52","Sandwiches,Breakfast,Burgers,Mojitos",8650.9
78,"Restaurants",2,0.7,15,"11:00AM-11:00PM","-",17,0,4.4,"15,34,4,28,27,24,8","Pizzas,Italian,Breakfast,Soups,Pasta,Salads,Desserts",49981.9
79,"Restaurants",2,0,15,"11:59AM-2:15 am","-",15,0,4.7,"5,8,91,27,16","Burgers,Desserts,Free Delivery,Pasta,Sandwiches",64854.7
81,"Restaurants",2,0,15,"08:00AM-12:30PM","05:00PM-11:30PM",15,0,3.8,"2,4,8,53,13,24,16","Arabic,Breakfast,Desserts,Mandazi,Omani,Salads,Sandwiches",12729.7
82,"Restaurants",2,0.7,8,"08:00AM-11:59PM","-",11,0,4.4,"4,8,12,50,15,24,16","Breakfast,Desserts,Lebanese,Manakeesh,Pizzas,Salads,Sandwiches",13840.7
83,"Restaurants",2,0.7,15,"11:00AM-11:00PM","-",15,0,4.2,"4,8,24,2","Breakfast,Desserts,Salads,Arabic",55515.5
84,"Restaurants",2,0,15,"10:00AM-11:45PM","-",14,0,4.3,"5,30,48,23","Burgers,Fries,Kids meal,Shawarma",82386.5
85,"Sweets & Bakes",3,0,5,"11:59AM-11:30PM","-",15,50,4.6,"8,13","Desserts,Omani",19858.1
86,"Sweets & Bakes",3,0,15,"08:30AM-11:45PM","-",13,0,4.5,"41,51,8,57,38,43,32,62,25","Cakes,Crepes,Desserts,Donuts,Fresh Juices,Ice creams,Milkshakes,Pancakes,Waffles",27200.8
90,"Restaurants",2,0,15,"11:59AM-11:45PM","-",14,0,4.4,"1,5,8,52,27","American,Burgers,Desserts,Mojitos ,Pasta",21860.9
92,"Restaurants",2,0.7,6,"11:00AM-10:45PM","-",14,0,4.6,"3,38,48","Asian,Fresh Juices,Kids meal",49632.1
104,"Restaurants",2,0,2,"10:59AM-11:30PM","-",10,0,4.5,"1,5,91,29,27","American,Burgers,Free Delivery,Hot Dogs,Pasta",28067.4
105,"Restaurants",2,0,15,"10:59AM-11:30PM","-",12,0,4.5,"1,5,91,29,27","American,Burgers,Free Delivery,Hot Dogs,Pasta",70922.4
106,"Restaurants",2,0,15,"10:59AM-11:30PM","-",10,0,4.5,"1,5,91,29,27","American,Burgers,Free Delivery,Hot Dogs,Pasta",33844.7
110,"Restaurants",2,0.7,15,"11:15AM-10:00PM","-",18,35,4.6,"3,58,22,11,33,28","Asian,Dimsum,Grills,Japanese,Rice,Soups",41180
113,"Restaurants",2,0,15,"10:59AM-10:59PM","-",10,0,4.7,"2,8,91,10","Arabic,Desserts,Free Delivery,Indian",109715.4
115,"Sweets & Bakes",2,0,15,"09:59AM-11:45PM","-",13,0,4.8,"8,91,9,56","Desserts,Free Delivery,Healthy Food,Sweets",6828.3
134,"Restaurants",2,0,15,"8:00AM-09:45PM","-",16,0,4.5,"5,9,32,16,35","Burgers,Healthy Food,Milkshakes,Sandwiches,Steaks",34341.4
145,"Restaurants",2,0,15,"04:00PM-11:45PM","-",10,0,3.2,"2,15,16","Arabic,Pizzas,Sandwiches",9278.8
148,"Restaurants",2,0.7,15,"08:00AM-11:45PM","-",16,15,4.1,"4,5,22,89,16,23","Breakfast,Burgers,Grills,Pizza,Sandwiches,Shawarma",13225.9
149,"Restaurants",2,0.7,15,"11:15AM-10:30PM","-",15,0,4.2,"2","Arabic",5978.7
154,"Restaurants",2,0.7,15,"11:00AM-11:45PM","-",15,0,4.5,"1,5,47,24,16","American,Burgers,Mishkak,Salads,Sandwiches",12345.9
157,"Restaurants",2,0.7,15,"10:59AM-3:30PM","06:30PM-11:00PM",15,0,4.3,"31,8,10,33,67,21","Biryani,Desserts,Indian,Rice,Thali,Vegetarian",20087.9
159,"Restaurants",2,0,6,"11.30am-11:30PM","-",13,0,4.5,"1,5,16","American,Burgers,Sandwiches",44522.4
160,"Restaurants",2,0.7,15,"10:00AM-11:45PM","-",14,0,4.3,"1,5,48,16","American,Burgers,Kids meal,Sandwiches",10310.2
161,"Restaurants",2,0.7,10,"11:00AM-11:59PM","12:00AM-01:00AM",17,0,4.2,"5,8,63,15","Burgers,Desserts,Pastry,Pizzas",11810.4
176,"Restaurants",2,0.7,8,"09:00AM-09:01AM","-",21,0,4.3,"4,8,22,32,24,16,28","Breakfast,Desserts,Grills,Milkshakes,Salads,Sandwiches,Soups",15826.2
180,"Restaurants",2,0.7,15,"11:00AM-11:00PM","-",15,0,3.8,"2,22,10,27,24,17,28,56","Arabic,Grills,Indian,Pasta,Salads,Seafood,Soups,Sweets",11279.7
188,"Restaurants",2,0.7,8,"11:59AM-10:45PM","-",14,0,4.6,"34,27,15,24,16","Italian,Pasta,Pizzas,Salads,Sandwiches",28717.5
189,"Restaurants",2,0.7,15,"7:58AM-11:45PM","-",10,0,4.3,"16,23,38,52,32","Sandwiches,Shawarma,Fresh Juices,Mojitos,Milkshakes",21431.9
191,"Restaurants",2,0.7,8,"09:00 AM-11:45 PM","-",11,0,4.5,"38,32,52,16,23","Fresh Juices,Milkshakes,Mojitos ,Sandwiches,Shawarma",15291.1
192,"Restaurants",2,0.7,10,"09:00 AM-11:45 PM","-",11,0,4.3,"38,32,52,16,23","Fresh Juices,Milkshakes,Mojitos ,Sandwiches,Shawarma",33886.8
193,"Restaurants",2,0.7,10,"11:00AM-11:01PM","-",18,0,4.3,"2,5,16,23,22,15,8","Arabic,Burgers,Sandwiches,Shawarma,Grills,Pizzas,Desserts",13149.4
195,"Restaurants",2,0.7,15,"05:30PM-11:59PM","00:01AM-02:30AM",15,0,4.2,"5,30,22,47,52,16,56","Burgers,Fries,Grills,Mishkak,Mojitos ,Sandwiches,Sweets",17298.9
