"id","vendor_category_en","vendor_category_id","delivery_charge","serving_distance","OpeningTime","OpeningTime2","prepration_time","discount_percentage","vendor_rating","vendor_tag","vendor_tag_name","revenue","total_items","deliverydistance","preparationtime","temp","precip","rated_vendor","delivery_time","Loc_Home","Loc_Work","Loc_Other"
4,"Restaurants",2,0,6,"11:00AM-11:30PM","-",15,0,4.4,"2,4,5,8,91,22,12,24,16,23","Arabic,Breakfast,Burgers,Desserts,Free Delivery,Grills,Lebanese,Salads,Sandwiches,Shawarma",15401.4,2828,5.54894736842105,42.7834008097166,73.9034412955466,0.0275,0.396761133603239,198.818784210526,421,199,98
13,"Restaurants",2,0.7,5,"08:30AM-10:30PM","-",14,0,4.7,"4,41,51,34,27,15,24,16,28","Breakfast,Cakes,Crepes,Italian,Pasta,Pizzas,Salads,Sandwiches,Soups",5644.2,682,5.42376854599406,41.3353115727003,73.9557863501484,0.0119287833827893,0.465875370919881,194.333627002967,132,85,35
20,"Restaurants",2,0,8,"08:00AM-10:45PM","-",19,0,4.5,"4,8,91,10","Breakfast,Desserts,Free Delivery,Indian",14509.4,1589,8.42373228346457,49.8976377952756,74.0988976377953,0.0120472440944882,0.414173228346457,301.822327716535,270,115,73
23,"Restaurants",2,0,5,"10:59AM-10:30PM","-",16,0,4.5,"5,8,30,24","Burgers,Desserts,Fries,Salads",10421.2,1109,7.30578260869565,45.2065217391304,73.8189130434783,0.0105869565217391,0.360869565217391,261.766190869565,191,57,53
28,"Restaurants",2,0.7,15,"11:00AM-11:45PM","-",10,0,4.4,"5","Burgers",12210.2,2763,7.4026386036961,40.9599589322382,75.0345995893224,0.0241170431211499,0.462012320328542,265.236541170431,372,174,141
33,"Restaurants",2,0.7,6,"11:00AM-10:30PM","-",17,0,4.6,"8,42","Desserts,Mexican",20470.2,2916,7.19922008547009,45.224358974359,74.113141025641,0.0215598290598291,0.448717948717949,257.948055662393,398,115,124
43,"Restaurants",2,0.7,15,"11:00AM-11:45PM","-",15,0,4.3,"1,5,30,16","American,Burgers,Fries,Sandwiches",6314.8,1467,7.24315151515152,43.3030303030303,75.1917171717172,0.0255353535353535,0.460606060606061,259.522118787879,188,90,79
44,"Restaurants",2,0.7,15,"11:00AM-11:45PM","-",14,0,4.3,"1,5,30,16","American,Burgers,Fries,Sandwiches",12654.7,3068,8.42000865051903,45.9818339100346,75.6524221453287,0.01530276816609,0.51643598615917,301.688909948097,464,206,164
55,"Restaurants",2,0.7,10,"09:00AM-11:30PM","-",19,0,4.5,"4,8,22,32,24,16,28","Breakfast,Desserts,Grills,Milkshakes,Salads,Sandwiches,Soups",9581.1,1667,7.3180971659919,50.6983805668016,75.9514170040486,0.0155060728744939,0.516194331983806,262.20742145749,220,93,56
66,"Restaurants",2,0,15,"05:00PM-11:00PM","-",20,10,4,"4,5,8,10,24","Breakfast,Burgers,Desserts,Indian,Salads",434.8,69,5.12921052631579,45.2631578947368,71.1473684210526,0.00605263157894737,0.263157894736842,183.779613157895,10,7,1
