id,vendor_category_en,vendor_category_id,delivery_charge,serving_distance,Open,Close,Open_updated,Close_updated,Total Open Time,OpeningTime2,prepration_time,discount_percentage,vendor_rating,vendor_tag,vendor_tag_name,revenue,total_items
4,Restaurants,2,0,6,11:00AM,11:30PM,11:00 AM,11:30 PM,12:30,-,15,0,4.4,"2,4,5,8,91,22,12,24,16,23","Arabic,Breakfast,Burgers,Desserts,Free Delivery,Grills,Lebanese,Salads,Sandwiches,Shawarma",15401.4,2828
13,Restaurants,2,0.7,5,08:30AM,10:30PM,8:30 AM,10:30 PM,14:00,-,14,0,4.7,"4,41,51,34,27,15,24,16,28","Breakfast,Cakes,Crepes,Italian,Pasta,Pizzas,Salads,Sandwiches,Soups",5644.2,682
20,Restaurants,2,0,8,08:00AM,10:45PM,8:00 AM,10:45 PM,14:45,-,19,0,4.5,"4,8,91,10","Breakfast,Desserts,Free Delivery,Indian",14509.4,1589
23,Restaurants,2,0,5,10:59AM,10:30PM,10:59 AM,10:30 PM,11:31,-,16,0,4.5,"5,8,30,24","Burgers,Desserts,Fries,Salads",10421.2,1109
28,Restaurants,2,0.7,15,11:00AM,11:45PM,11:00 AM,11:45 PM,12:45,-,10,0,4.4,5,Burgers,12210.2,2763
33,Restaurants,2,0.7,6,11:00AM,10:30PM,11:00 AM,10:30 PM,11:30,-,17,0,4.6,"8,42","Desserts,Mexican",20470.2,2916
43,Restaurants,2,0.7,15,11:00AM,11:45PM,11:00 AM,11:45 PM,12:45,-,15,0,4.3,"1,5,30,16","American,Burgers,Fries,Sandwiches",6314.8,1467
44,Restaurants,2,0.7,15,11:00AM,11:45PM,11:00 AM,11:45 PM,12:45,-,14,0,4.3,"1,5,30,16","American,Burgers,Fries,Sandwiches",12654.7,3068
55,Restaurants,2,0.7,10,09:00AM,11:30PM,9:00 AM,11:30 PM,14:30,-,19,0,4.5,"4,8,22,32,24,16,28","Breakfast,Desserts,Grills,Milkshakes,Salads,Sandwiches,Soups",9581.1,1667
66,Restaurants,2,0,15,05:00PM,11:00PM,5:00 PM,11:00 PM,6:00,-,20,10,4,"4,5,8,10,24","Breakfast,Burgers,Desserts,Indian,Salads",434.8,69
67,Restaurants,2,0,15,08:00AM,11:30PM,8:00 AM,11:30 PM,15:30,-,15,0,4.3,"4,8,22,32,24,16,28","Breakfast,Desserts,Grills,Milkshakes,Salads,Sandwiches,Soups",10465.5,1638
